okved_version;name_by_okved;generic_name
ОКВЭД;Все разделы;Все разделы
ОКВЭД2;Все разделы;Все разделы
ОКВЭД2;"Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений";"Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений"
ОКВЭД;"Государственное управление и обеспечение военной безопасности; социальное страхование";"Государственное управление и обеспечение военной безопасности; социальное обеспечение"
ОКВЭД;"Государственное управление и обеспечение военной безопасности; обязательное социальное страхование";"Государственное управление и обеспечение военной безопасности; социальное обеспечение"
ОКВЭД2;"Государственное управление и обеспечение военной безопасности; социальное обеспечение";"Государственное управление и обеспечение военной безопасности; социальное обеспечение"
ОКВЭД2;Деятельность административная и сопутствующие дополнительные услуги;Деятельность административная и сопутствующие дополнительные услуги
ОКВЭД;Здравоохранение и предоставление социальных услуг;Деятельность в области здравоохранения и социальных услуг
ОКВЭД2;Деятельность в области здравоохранения и социальных услуг;Деятельность в области здравоохранения и социальных услуг
ОКВЭД2;Деятельность в области культуры, спорта, организации досуга и развлечений;Деятельность в области культуры, спорта, организации досуга и развлечений
ОКВЭД;Гостиницы и рестораны;Деятельность гостиниц и предприятий общественного питания
ОКВЭД2;Деятельность гостиниц и предприятий общественного питания;Деятельность гостиниц и предприятий общественного питания
ОКВЭД;Предоставление услуг по ведению домашнего хозяйства;"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления"
ОКВЭД;Деятельность домашних хозяйств;"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления"
ОКВЭД2;"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления";"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления"
ОКВЭД;Операции с недвижимым имуществом, аренда и предоставление услуг;Деятельность по операциям с недвижимым имуществом
ОКВЭД2;Деятельность по операциям с недвижимым имуществом;Деятельность по операциям с недвижимым имуществом
ОКВЭД2;Деятельность профессиональная, научная и техническая;Деятельность профессиональная, научная и техническая
ОКВЭД2;Деятельность финансовая и страховая;Деятельность финансовая и страховая
ОКВЭД;Добыча полезных ископаемых;Добыча полезных ископаемых
ОКВЭД2;Добыча полезных ископаемых;Добыча полезных ископаемых
ОКВЭД;Производство и распределение электроэнергии, газа и воды;"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"
ОКВЭД2;"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"
ОКВЭД;Обрабатывающие производства;Обрабатывающие производства
ОКВЭД2;Обрабатывающие производства;Обрабатывающие производства
ОКВЭД;Образование;Образование
ОКВЭД2;Образование;Образование
ОКВЭД;"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования"
ОКВЭД2;"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов";"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования"
ОКВЭД2;Предоставление прочих видов услуг;"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования"
ОКВЭД;Предоставление прочих коммунальных, социальных и персональных услуг;Предоставление прочих коммунальных, социальных и персональных услуг
ОКВЭД;Сельское хозяйство, охота и лесное хозяйство;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство
ОКВЭД;Рыболовство, рыбоводство;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство
ОКВЭД2;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство
ОКВЭД;Строительство;Строительство
ОКВЭД2;Строительство;Строительство
ОКВЭД;Транспорт и связь;"Транспортировка и хранение; деятельность в области информации и связи"
ОКВЭД2;Транспортировка и хранение;"Транспортировка и хранение; деятельность в области информации и связи"
ОКВЭД2;Деятельность в области информации и связи;"Транспортировка и хранение; деятельность в области информации и связи"
ОКВЭД;Финансовая деятельность;Финансовая деятельность
